judge,protocol,seed,cov_raw,width_raw,cov_adj,width_adj,elapsed_sec
LLaVA-Critic,A_internal_split,1,0.8968170689052116,3.032135598848816,0.9825113676110528,3.645330535152151,31.517525911331177
LLaVA-Critic,B_external_split,1,0.888422525358517,3.0539347017174125,0.9811122770199371,3.6421825813221407,25.493607759475708
LLaVA-Critic,A_internal_split,2,0.9055613850996852,3.041250796366422,0.9790136411332634,3.5795732773697098,31.195643186569214
LLaVA-Critic,B_external_split,2,0.9073102483385799,3.084116088714413,0.9786638684854845,3.6096537250786986,25.332122325897217
LLaVA-Critic,A_internal_split,3,0.8772298006295908,2.966660915325054,0.9702693249387898,3.454704442112627,30.794264793395996
LLaVA-Critic,B_external_split,3,0.8768800279818119,2.951961950014921,0.9653725078698846,3.479188527457153,25.494330406188965
LLaVA-Critic,A_internal_split,4,0.887722980062959,2.998030422116627,0.9790136411332634,3.578174186778594,32.63586616516113
LLaVA-Critic,B_external_split,4,0.8828261629940539,2.9633340055853306,0.9765652325988108,3.551591465547394,25.39571714401245
LLaVA-Critic,A_internal_split,5,0.8919202518363064,2.947875841758851,0.9769150052465897,3.520811472542847,34.44603228569031
LLaVA-Critic,B_external_split,5,0.894368660370759,2.9921531112263278,0.9786638684854845,3.5582371458551942,26.096473932266235
LLaVA-Critic,A_internal_split,6,0.8873732074151801,2.939268283803966,0.9765652325988108,3.5236096537250785,35.19638133049011
LLaVA-Critic,B_external_split,6,0.8842252535851697,3.0120998516746567,0.9758656873032528,3.5417978314095837,25.88155198097229
LLaVA-Critic,A_internal_split,7,0.8719832109129066,2.9298804104849356,0.9727177334732424,3.435117173837006,31.639788389205933
LLaVA-Critic,B_external_split,7,0.8870234347674012,3.0048570135916477,0.9790136411332634,3.488282616299405,25.842283725738525
LLaVA-Critic,A_internal_split,8,0.8929695697796433,2.9496754753960728,0.9797131864288212,3.522560335781742,35.21685338020325
LLaVA-Critic,B_external_split,8,0.8950682056663168,3.0270821843042204,0.9835606855543897,3.6005596362364463,29.52726912498474
LLaVA-Critic,A_internal_split,9,0.9220006995452955,3.2768337594416224,0.9884575026232949,3.732074151801329,35.42810845375061
LLaVA-Critic,B_external_split,9,0.9282966072053166,3.2860052402138753,0.9898565932144107,3.7411682406435816,29.441858053207397
LLaVA-Critic,A_internal_split,10,0.8968170689052116,3.0668752013323566,0.9772647778943686,3.5554389646729625,31.686890363693237
LLaVA-Critic,B_external_split,10,0.8922700244840853,3.0324240721535456,0.974816369359916,3.5271073802028683,28.246782779693604
Phi-4,A_internal_split,1,0.8957677509618748,3.1639786654729534,0.9821615949632738,3.7236796082546344,35.31592345237732
Phi-4,B_external_split,1,0.8817768450507171,3.086198336805402,0.9793634137810423,3.645330535152151,29.664979934692383
Phi-4,A_internal_split,2,0.8940188877229801,3.157063756634531,0.9863588667366212,3.7481636935991607,35.33240842819214
Phi-4,B_external_split,2,0.888072752710738,3.1530366149053743,0.9835606855543897,3.7159846100034977,29.49910020828247
Phi-4,A_internal_split,3,0.8852745715285064,3.1402272771563133,0.9790136411332634,3.7177334732423923,35.342021465301514
Phi-4,B_external_split,3,0.8835257082896117,3.0989658721638293,0.9758656873032528,3.6691150752011192,29.701754331588745
