ID,Category,Better,img_ok,score1,o1_lp1,o1_lp2,o1_lp3,o1_lp4,o1_lp5,score2,o2_lp1,o2_lp2,o2_lp3,o2_lp4,o2_lp5
visitbench_309,open_generation/correctness_task,Output2,1,4,-14.64735,-12.13172,-5.1786,-0.00672,-6.97547,4,-12.05928,-11.30928,-7.2624,-0.41865,-1.0749
visitbench_200,open_generation/correctness_task,Output1,1,4,-13.9235,-13.38443,-9.361,-0.611,-0.78287,4,-16.22179,-14.72179,-8.65929,-0.00304,-5.86242
nocaps_10812,open_generation/correctness_task,Output1,1,4,-17.70823,-16.00369,-10.26505,-0.00085,-8.11022,4,-14.51796,-13.687,-8.88586,-0.02222,-3.88586
nocaps_7235,open_generation/correctness_task,Output2,1,4,-17.3445,-15.76069,-8.8445,-0.00075,-8.14137,4,-15.85258,-15.44633,-11.70414,-0.01664,-4.11039
nocaps_11879,open_generation/correctness_task,Output2,1,4,-15.09319,-14.29632,-9.86663,-0.00726,-4.96038,4,-16.12653,-16.30409,-10.82256,-0.05693,-2.90068
nocaps_8484,open_generation/correctness_task,Output1,1,4,-16.96961,-16.302,-12.2324,-0.01081,-4.54206,4,-17.41638,-15.15785,-8.46751,-0.0016,-8.47035
nocaps_10898,open_generation/correctness_task,Output1,1,4,-17.12242,-16.18492,-10.371,-0.01162,-4.48037,5,-14.82689,-16.06126,-13.85032,-3.81907,-0.0222
nocaps_9930,open_generation/correctness_task,Output2,1,4,-15.59068,-15.83287,-11.94225,-0.02037,-3.90532,4,-14.1343,-12.97663,-8.53771,-0.02919,-3.74936
visitbench_463,open_generation/correctness_task,Output1,1,5,-12.56761,-13.77855,-11.38793,-4.35668,-0.01293,4,-13.83496,-10.68865,-3.43013,-0.03524,-6.82217
visitbench_272,open_generation/correctness_task,Output2,1,5,-14.02047,-14.94235,-12.6611,-5.33297,-0.00485,3,-10.54939,-2.65877,-0.09627,-3.83064,-11.34627
visitbench_469,open_generation/correctness_task,Output2,1,4,-13.52975,-7.82662,-1.16469,-0.37492,-9.71086,5,-13.72734,-14.50859,-11.78984,-3.24297,-0.03984
nocaps_6566,open_generation/correctness_task,Output2,1,4,-14.38125,-13.18806,-6.27045,-0.05596,-3.02045,4,-13.99276,-12.40185,-7.20298,-0.04389,-3.32798
nocaps_6825,open_generation/correctness_task,Output2,1,4,-13.45383,-12.58025,-8.13422,-0.03763,-3.31888,4,-13.45078,-13.25902,-9.49481,-0.063,-2.80447
nocaps_4765,open_generation/correctness_task,Output1,1,4,-15.72859,-15.4587,-10.81808,-0.0212,-3.8962,5,-12.97902,-14.36183,-12.70558,-6.01808,-0.00246
visitbench_507,open_generation/correctness_task,Output1,1,4,-14.72161,-12.94036,-6.44036,-0.00286,-6.70599,4,-14.93978,-12.94759,-7.40853,-0.00228,-6.40853
nocaps_4520,open_generation/correctness_task,Output1,1,4,-15.30822,-15.00282,-11.32385,-0.03691,-3.34941,4,-15.92272,-14.34602,-7.64289,-0.00227,-7.25227
nocaps_7080,open_generation/correctness_task,Output1,1,4,-17.23988,-14.73988,-7.54528,-0.00124,-8.89187,5,-17.19186,-18.53419,-15.21956,-4.75862,-0.00862
nocaps_11547,open_generation/correctness_task,Output2,1,5,-13.17204,-15.42985,-14.2111,-8.82829,-0.00016,4,-16.73365,-15.62428,-10.55396,-0.00709,-4.99146
nocaps_14738,open_generation/correctness_task,Output2,1,4,-13.21709,-11.28741,-5.74053,-0.00616,-7.55303,4,-16.34439,-15.72649,-11.90546,-0.0191,-3.97222
nocaps_6256,open_generation/correctness_task,Output2,1,4,-14.61941,-13.56827,-8.26572,-0.04697,-3.09384,5,-14.76416,-15.02695,-12.47723,-3.79826,-0.02269
nocaps_5285,open_generation/correctness_task,Output2,1,4,-17.88506,-16.84813,-9.48875,-0.00438,-5.4575,4,-15.58835,-14.77585,-10.53366,-0.01804,-4.03366
visitbench_274,open_generation/correctness_task,Output1,1,5,-12.23875,-13.73023,-10.78846,-4.77284,-0.00864,4,-15.13136,-12.80892,-3.97369,-0.02057,-8.31744
visitbench_124,open_generation/correctness_task,Output2,1,4,-14.77746,-12.44934,-5.99621,-0.01184,-4.68371,5,-13.13625,-14.2016,-12.69591,-5.50131,-0.00415
nocaps_9722,open_generation/correctness_task,Output2,1,5,-12.8752,-14.85958,-13.48458,-8.57833,-0.0002,5,-12.98506,-14.86787,-13.14131,-7.31318,-0.00068
visitbench_168,open_generation/correctness_task,Output1,1,5,-13.06199,-12.74949,-8.79636,-0.74949,-0.64011,4,-16.32976,-14.67351,-9.00945,-0.00945,-4.68132
nocaps_7887,open_generation/correctness_task,Output2,1,5,-13.65594,-14.58563,-12.23407,-4.18719,-0.01532,4,-17.15314,-16.50683,-12.37331,-0.01251,-4.41876
nocaps_4609,open_generation/correctness_task,Output2,1,4,-17.54556,-16.76431,-10.63931,-0.01431,-4.26431,4,-15.99078,-16.41692,-12.36578,-0.41266,-1.08453
nocaps_9069,open_generation/correctness_task,Output1,1,4,-16.96523,-15.53057,-8.98653,-0.00215,-6.3459,4,-17.53555,-15.46879,-9.10515,-0.00146,-8.25146
visitbench_270,open_generation/correctness_task,Output2,1,4,-14.94056,-10.97039,-1.09539,-0.40789,-9.64226,4,-16.26659,-14.93065,-9.31346,-0.00096,-7.06346
visitbench_17,open_generation/correctness_task,Output2,1,5,-12.48341,-13.44932,-11.46778,-5.37403,-0.00472,5,-12.8224,-13.20593,-11.48007,-4.62638,-0.0099
nocaps_10101,open_generation/correctness_task,Output1,1,5,-12.90445,-12.00601,-7.31851,-0.97476,-0.47476,4,-16.28408,-14.91335,-8.01846,-0.00283,-6.70596
nocaps_11489,open_generation/correctness_task,Output2,1,4,-17.07436,-15.78885,-9.23629,-0.00192,-6.56442,5,-14.65985,-15.83954,-13.5661,-5.6286,-0.00361
visitbench_239,open_generation/correctness_task,Output1,1,2,-3.65275,-0.41411,-1.18116,-5.11582,-9.51922,2,-6.60805,-0.18759,-1.79271,-5.7643,-11.97736
nocaps_9792,open_generation/correctness_task,Output1,1,5,-14.07928,-16.0246,-14.14178,-6.76678,-0.00116,4,-15.91566,-14.77219,-9.02077,-0.00514,-5.41139
