ID,Category,Better,img_ok,score1,o1_lp1,o1_lp2,o1_lp3,o1_lp4,o1_lp5,score2,o2_lp1,o2_lp2,o2_lp3,o2_lp4,o2_lp5
nocaps_13062,open_generation/correctness_task,Output2,1,4,-14.97602,-15.16352,-12.07759,-0.15571,-1.93696,4,-14.57587,-14.25556,-10.57587,-0.04462,-3.13837
nocaps_12997,open_generation/correctness_task,Output1,1,4,-18.19777,-16.64947,-11.30146,-0.00174,-6.42362,5,-14.62423,-15.99923,-13.65548,-4.96017,-0.00704
nocaps_6087,open_generation/correctness_task,Output1,1,4,-16.49132,-16.28536,-10.93734,-0.04672,-3.09359,5,-12.64901,-14.61776,-13.32869,-7.51619,-0.00057
visitbench_573,open_generation/correctness_task,Output2,1,5,-13.21858,-13.65892,-11.25835,-2.76404,-0.06517,2,-4.43013,-0.18013,-1.88325,-7.11763,-11.94575
nocaps_5812,open_generation/correctness_task,Output1,1,5,-14.21678,-15.20897,-13.00584,-5.14647,-0.00584,4,-16.52946,-16.12464,-12.38884,-0.04793,-3.06356
nocaps_9546,open_generation/correctness_task,Output1,1,5,-14.4926,-16.42229,-14.56291,-7.79729,-0.00041,5,-13.71359,-14.77893,-13.20933,-5.09143,-0.0062
visitbench_213,open_generation/correctness_task,Output2,1,4,-14.32302,-14.3699,-11.41677,-0.1824,-1.79177,5,-12.25942,-13.7722,-12.30203,-7.11737,-0.00089
visitbench_151,open_generation/correctness_task,Output1,1,5,-14.87523,-15.69199,-13.88091,-8.39796,-0.00023,5,-11.59587,-12.35582,-10.56604,-4.42968,-0.01207
visitbench_203,open_generation/correctness_task,Output2,1,5,-14.94273,-15.67426,-13.33051,-5.57483,-0.00381,4,-13.65893,-7.6504,-1.89756,-0.16319,-9.24131
nocaps_12214,open_generation/correctness_task,Output2,1,3,-8.96473,-1.62098,-0.22894,-5.03007,-8.64797,4,-16.76988,-15.26207,-9.28551,-0.00426,-5.50426
nocaps_9738,open_generation/correctness_task,Output1,1,5,-14.76792,-16.11167,-13.87729,-6.08042,-0.00229,4,-17.42501,-16.96336,-11.577,-0.04575,-3.10825
nocaps_5988,open_generation/correctness_task,Output2,1,4,-13.48891,-8.55922,-1.07484,-0.41859,-10.07484,4,-15.65776,-15.52281,-11.37225,-0.1535,-1.95037
visitbench_193,open_generation/correctness_task,Output2,1,3,-10.91067,-2.39504,-0.11379,-4.11379,-11.14504,5,-14.70239,-14.77341,-11.74074,-0.82597,-0.57597
nocaps_7007,open_generation/correctness_task,Output1,1,4,-18.54197,-16.62436,-9.00078,-0.00078,-7.67266,4,-17.89845,-16.09447,-8.34447,-0.00072,-8.39135
nocaps_14724,open_generation/correctness_task,Output2,1,4,-16.23672,-14.75234,-7.81484,-0.00234,-7.25234,4,-16.12358,-13.53409,-8.33097,-0.00284,-6.72159
nocaps_13972,open_generation/correctness_task,Output2,1,4,-13.70043,-11.25725,-4.5527,-0.03566,-7.79134,4,-15.7801,-16.27016,-12.05567,-0.61817,-0.77442
nocaps_9659,open_generation/correctness_task,Output1,1,5,-13.03329,-14.54608,-13.28898,-7.52903,-0.00062,4,-15.86307,-16.19688,-11.58466,-0.10029,-2.35029
nocaps_8623,open_generation/correctness_task,Output1,1,5,-15.27044,-16.52044,-14.26192,-2.98919,-0.05169,4,-15.42485,-15.32542,-10.30269,-0.02144,-3.86519
nocaps_11811,open_generation/correctness_task,Output2,1,4,-17.37309,-15.8461,-10.32054,-0.00378,-5.67565,4,-17.25631,-16.50346,-12.33443,-0.01057,-4.57307
nocaps_6601,open_generation/correctness_task,Output2,1,4,-17.45921,-16.07427,-11.04586,-0.00183,-6.56433,4,-14.25445,-14.13371,-11.24308,-0.19195,-1.75445
nocaps_13753,open_generation/correctness_task,Output2,1,5,-13.87542,-15.14885,-12.94573,-4.14104,-0.01604,4,-17.02851,-15.63646,-9.03277,-0.00152,-6.82965
nocaps_9742,open_generation/correctness_task,Output2,1,5,-15.88517,-17.2062,-15.55137,-6.4079,-0.00165,4,-16.99647,-16.75499,-11.07743,-0.09306,-2.42118
visitbench_268,open_generation/correctness_task,Output2,1,4,-15.07085,-14.82227,-9.63761,-0.02824,-3.59074,4,-15.20577,-13.21359,-6.0964,-0.00265,-7.89327
visitbench_559,open_generation/correctness_task,Output1,1,4,-13.81328,-12.64141,-8.00078,-0.01641,-4.14141,5,-13.13857,-14.41982,-12.39638,-5.16201,-0.00576
visitbench_39,open_generation/correctness_task,Output2,1,5,-14.55116,-14.66053,-11.87147,-2.16834,-0.12147,4,-11.38778,-7.11221,-1.91335,-0.16619,-6.47301
nocaps_7559,open_generation/correctness_task,Output2,1,5,-13.84926,-14.91176,-12.87269,-4.32582,-0.01332,5,-14.68887,-16.08731,-14.3295,-6.59512,-0.00137
visitbench_362,open_generation/correctness_task,Output1,1,5,-14.77062,-15.68681,-13.62715,-5.05329,-0.00642,5,-14.41747,-15.20582,-13.47287,-2.60781,-0.07656
nocaps_5128,open_generation/correctness_task,Output2,1,4,-17.52475,-16.08298,-10.8344,-0.00202,-6.36139,4,-16.07419,-15.38527,-11.35828,-0.01027,-4.61965
nocaps_11426,open_generation/correctness_task,Output1,1,4,-18.06899,-16.04485,-8.20394,-0.00081,-7.98519,4,-17.14476,-16.6547,-11.55669,-0.05669,-2.90044
nocaps_6757,open_generation/correctness_task,Output1,1,4,-16.41881,-15.69225,-10.71568,-0.01256,-4.38756,4,-16.57162,-14.6263,-8.34505,-0.0013,-7.42318
nocaps_8059,open_generation/correctness_task,Output2,1,4,-15.87743,-15.67856,-10.94561,-0.05498,-2.92998,5,-13.20323,-15.49229,-14.24229,-9.3126,-0.0001
nocaps_10337,open_generation/correctness_task,Output2,1,4,-16.97226,-14.73504,-8.15834,-0.00067,-8.28192,4,-18.37916,-16.71723,-10.94308,-0.00132,-6.75132
nocaps_5677,open_generation/correctness_task,Output1,1,4,-16.02006,-15.56694,-11.25444,-0.08256,-2.53569,5,-16.24871,-17.18621,-13.01718,-1.06405,-0.42343
nocaps_6563,open_generation/correctness_task,Output1,1,4,-16.44241,-15.1569,-8.39269,-0.00207,-6.68957,5,-14.78043,-15.68952,-12.07943,-1.47787,-0.25912
visitbench_465,open_generation/correctness_task,Output2,1,2,-3.84389,-0.31264,-1.40639,-6.21889,-10.54702,4,-13.9959,-11.46039,-4.84107,-0.01153,-5.9192
nocaps_9206,open_generation/correctness_task,Output1,1,4,-16.50768,-16.10995,-10.91677,-0.04177,-3.19802,4,-13.98093,-13.52,-9.18406,-0.02781,-3.62156
nocaps_10266,open_generation/correctness_task,Output2,1,4,-17.91825,-16.40546,-9.04751,-0.00063,-8.07876,5,-14.76695,-16.33727,-14.39195,-6.62633,-0.00133
nocaps_8763,open_generation/correctness_task,Output2,1,5,-13.8684,-15.25121,-13.38403,-6.71996,-0.00121,4,-17.07903,-15.61596,-8.73528,-0.0009,-7.54778
nocaps_14243,open_generation/correctness_task,Output2,1,4,-14.51012,-12.95543,-7.28355,-0.0023,-7.14293,4,-14.21751,-14.34251,-10.91283,-0.10033,-2.35033
nocaps_9579,open_generation/correctness_task,Output2,1,4,-17.26031,-15.17224,-7.09553,-0.00178,-8.18928,4,-15.95831,-15.94411,-11.0549,-0.10178,-2.33615
visitbench_360,open_generation/correctness_task,Output2,1,5,-12.76023,-13.85398,-11.01804,-3.40867,-0.03367,4,-15.68153,-14.54871,-6.42371,-0.00184,-9.45496
nocaps_9258,open_generation/correctness_task,Output1,1,5,-16.05853,-16.83978,-12.82416,-1.37103,-0.29291,5,-14.06491,-15.39303,-13.42428,-6.03366,-0.00241
nocaps_13322,open_generation/correctness_task,Output1,1,5,-13.5558,-14.96205,-13.39955,-6.81361,-0.00111,5,-15.40357,-16.78851,-15.04845,-6.4547,-0.00158
visitbench_315,open_generation/correctness_task,Output2,1,5,-13.79831,-15.68894,-13.50144,-6.54831,-0.00144,5,-14.51536,-15.49548,-12.34917,-1.34775,-0.30088
visitbench_486,open_generation/correctness_task,Output2,1,5,-13.98591,-15.01574,-13.53847,-6.49301,-0.00153,4,-15.73103,-15.88018,-12.43558,-0.33046,-1.26796
nocaps_11968,open_generation/correctness_task,Output2,1,4,-17.02944,-17.00103,-13.47831,-0.08768,-2.47831,5,-14.56646,-15.88677,-13.87115,-5.53521,-0.00396
visitbench_382,open_generation/correctness_task,Output2,1,4,-16.22795,-14.72795,-9.00138,-0.00139,-6.75139,5,-12.42983,-12.91421,-9.42983,-1.17983,-0.36733
nocaps_14612,open_generation/correctness_task,Output1,1,5,-14.18816,-16.00066,-14.3366,-7.32879,-0.00066,4,-17.06133,-15.79002,-9.34542,-0.00167,-6.81417
nocaps_4568,open_generation/correctness_task,Output2,1,4,-16.40193,-15.23716,-9.01841,-0.00278,-6.31528,4,-16.34297,-16.20092,-11.0745,-0.02763,-3.60575
visitbench_58,open_generation/correctness_task,Output1,1,2,-6.71729,-0.68036,-0.71019,-7.16332,-12.10863,2,-8.36738,-0.42988,-1.05488,-6.97675,-12.70331
visitbench_177,open_generation/correctness_task,Output1,1,5,-11.90434,-13.82905,-12.21684,-7.03218,-0.00093,3,-14.21262,-8.65865,-0.14302,-2.01802,-9.54927
nocaps_8998,open_generation/correctness_task,Output1,1,4,-15.64137,-15.98938,-11.50785,-0.08597,-2.50785,5,-13.50011,-15.77355,-14.3048,-9.15636,-0.00011
nocaps_13443,open_generation/correctness_task,Output2,1,5,-12.246,-13.43918,-11.55708,-3.52441,-0.03009,4,-14.75269,-14.93238,-10.86988,-0.18238,-1.79175
nocaps_14665,open_generation/correctness_task,Output2,1,5,-13.61389,-14.71545,-12.6842,-4.40295,-0.01233,4,-15.41066,-14.77004,-10.28566,-0.02004,-3.92629
nocaps_4939,open_generation/correctness_task,Output2,1,4,-16.79583,-16.59696,-10.75747,-0.06998,-2.69498,4,-17.2938,-16.81795,-10.66028,-0.03528,-3.3634
nocaps_12390,open_generation/correctness_task,Output2,1,5,-15.07941,-15.0652,-9.85213,-1.53537,-0.24276,5,-13.60964,-16.07839,-14.30495,-8.25027,-0.00027
visitbench_136,open_generation/correctness_task,Output1,1,2,-1.43089,-0.28032,-5.25191,-9.96072,-11.89254,5,-14.624,-15.06434,-12.46491,-2.25184,-0.11121
visitbench_328,open_generation/correctness_task,Output1,1,4,-17.02545,-15.83227,-11.20159,-0.00131,-6.67318,5,-15.37963,-15.86969,-12.85832,-2.18219,-0.11969
nocaps_9535,open_generation/correctness_task,Output1,1,4,-16.60333,-16.03515,-12.27094,-0.0252,-3.69708,5,-13.1494,-14.69628,-13.23534,-6.95409,-0.00097
nocaps_13143,open_generation/correctness_task,Output2,1,2,-7.3401,-0.25203,-1.53044,-5.17674,-10.91893,4,-14.90153,-14.6359,-10.79996,-0.03434,-3.39371
visitbench_324,open_generation/correctness_task,Output2,1,4,-15.18309,-10.95724,-3.94019,-0.01974,-9.78536,3,-10.6707,-1.70763,-0.20195,-6.49456,-11.53718
nocaps_13046,open_generation/correctness_task,Output1,1,5,-13.35445,-14.10445,-11.12007,-2.65132,-0.0732,4,-14.82794,-15.53106,-11.77964,-0.67027,-0.71715
nocaps_9092,open_generation/correctness_task,Output2,1,4,-15.76475,-15.64756,-11.64756,-0.08507,-2.50694,4,-14.23888,-13.77013,-9.59826,-0.08263,-2.53576
nocaps_12749,open_generation/correctness_task,Output1,1,5,-12.87518,-14.96112,-13.58612,-8.70331,-0.00018,4,-14.17826,-13.05611,-6.50497,-0.10866,-2.31747
nocaps_14111,open_generation/correctness_task,Output2,1,4,-13.94314,-13.63774,-9.60365,-0.58376,-0.8224,4,-14.61451,-14.2317,-10.73951,-0.09889,-2.36451
visitbench_98,open_generation/correctness_task,Output2,1,3,-8.88913,-1.10788,-0.40475,-6.01413,-11.31882,3,-14.13249,-6.60905,-0.2028,-1.7028,-10.78092
nocaps_5460,open_generation/correctness_task,Output2,1,4,-16.54797,-16.05081,-10.48689,-0.03376,-3.40876,4,-15.78795,-15.60045,-11.76451,-0.04576,-3.10826
nocaps_13846,open_generation/correctness_task,Output2,1,4,-16.29972,-15.29972,-9.8544,-0.01065,-4.55753,4,-15.02685,-12.88197,-6.96578,-0.00697,-7.86634
nocaps_11731,open_generation/correctness_task,Output1,1,4,-15.69285,-14.36472,-9.81785,-0.00535,-5.2866,4,-16.70804,-15.28048,-10.18815,-0.00349,-5.75349
nocaps_6624,open_generation/correctness_task,Output2,1,5,-13.80151,-13.56004,-10.52026,-1.03163,-0.44356,4,-13.73901,-9.62182,-1.37182,-0.29369,-8.79369
nocaps_8835,open_generation/correctness_task,Output1,1,4,-17.06112,-16.54976,-11.3026,-0.0526,-2.97448,5,-13.86262,-15.14387,-13.20637,-4.51106,-0.01106
nocaps_5936,open_generation/correctness_task,Output2,1,5,-14.62441,-14.54629,-11.03066,-1.81191,-0.17839,4,-15.36295,-14.92545,-11.15983,-0.09733,-2.37858
visitbench_229,open_generation/correctness_task,Output1,1,5,-13.03769,-13.02349,-10.21809,-0.72945,-0.65843,5,-13.86779,-13.80743,-11.98711,-5.90899,-0.00274
nocaps_14120,open_generation/correctness_task,Output1,1,4,-16.39668,-15.75747,-10.31571,-0.01883,-3.98758,4,-15.5539,-11.59083,-3.6931,-0.02549,-10.32236
nocaps_9619,open_generation/correctness_task,Output2,1,5,-15.62005,-16.73511,-15.18681,-6.14562,-0.00215,5,-14.17985,-15.17204,-13.19548,-4.8361,-0.00798
visitbench_37,open_generation/correctness_task,Output2,1,5,-15.20596,-15.09943,-12.33664,-2.03125,-0.14062,4,-14.68559,-11.70902,-5.1934,-0.0059,-8.1934
nocaps_14538,open_generation/correctness_task,Output1,1,5,-15.61874,-16.66278,-12.97457,-1.85738,-0.16988,5,-14.85024,-15.70962,-12.11445,-0.88007,-0.53632
nocaps_14692,open_generation/correctness_task,Output2,1,4,-13.33098,-12.7486,-8.77842,-0.01422,-4.75854,4,-14.74766,-14.17734,-10.13828,-0.01328,-4.38828
nocaps_5528,open_generation/correctness_task,Output1,1,4,-16.9654,-15.53074,-8.68983,-0.00233,-6.45546,4,-16.70535,-15.45535,-9.56615,-0.00365,-5.7849
nocaps_7174,open_generation/correctness_task,Output2,1,4,-18.10852,-16.36136,-8.89119,-0.00056,-8.07869,5,-14.94597,-15.81244,-14.02267,-4.96017,-0.00705
nocaps_5879,open_generation/correctness_task,Output2,1,4,-15.27017,-13.94204,-8.77159,-0.00739,-4.96761,4,-13.22255,-13.39442,-10.05849,-0.08973,-2.46473
visitbench_207,open_generation/correctness_task,Output2,1,5,-12.3015,-12.8917,-12.25889,-4.90803,-0.00746,5,-14.49432,-17.36364,-16.48296,-13.88352,-0.0
