judge,bin,n,mean_width,mean_err,exact_acc,pm1_acc,cp_cov_raw
Gemini,"(1.0490000000000002, 2.187]",2704,2.0352278548849405,0.7603550295857988,0.49038461538461536,0.8409763313609467,0.9201183431952663
Gemini,"(2.187, 2.331]",2704,2.259459669112101,0.9234467455621301,0.3931213017751479,0.7858727810650887,0.9175295857988166
Gemini,"(2.331, 2.486]",2703,2.404818530617226,0.9881613022567518,0.37735849056603776,0.7510173880873104,0.8949315575286718
Gemini,"(2.486, 2.617]",2704,2.5566148542793545,1.0388313609467457,0.34282544378698226,0.7370562130177515,0.8775887573964497
Gemini,"(2.617, 2.759]",2704,2.6875555310288126,1.0580621301775148,0.3224852071005917,0.7344674556213018,0.8613165680473372
Gemini,"(2.759, 2.97]",2703,2.8597551381371877,1.0843507214206438,0.3015168331483537,0.7247502774694784,0.8479467258601554
Gemini,"(2.97, 3.125]",2704,3.0513529354739473,1.206360946745562,0.2818047337278107,0.6815828402366864,0.9060650887573964
Gemini,"(3.125, 3.326]",2703,3.222268911806954,1.3022567517573067,0.2578616352201258,0.6230114687384388,0.8938216796152423
Gemini,"(3.326, 3.582]",2704,3.4424097926835335,1.4393491124260356,0.22633136094674555,0.5721153846153846,0.8886834319526628
Gemini,"(3.582, 4.0]",2704,3.871640255906173,1.452662721893491,0.21708579881656806,0.5769230769230769,0.9330621301775148
LLaVA-Critic,"(0.512, 2.37]",2859,2.1583559561459573,0.8929695697796433,0.42322490381252187,0.7946834557537601,0.887722980062959
LLaVA-Critic,"(2.37, 2.595]",2858,2.4892603830910796,1.0251924422673198,0.3761371588523443,0.7487753673897831,0.8736878936319105
LLaVA-Critic,"(2.595, 2.766]",2858,2.6810866741136374,1.0258922323303008,0.33939818054583626,0.7494751574527642,0.8726382085374388
LLaVA-Critic,"(2.766, 2.933]",2858,2.8481023627782385,1.0524842547235829,0.3110566829951015,0.7508747375787264,0.8390482855143457
LLaVA-Critic,"(2.933, 3.053]",2859,3.0063132136049036,1.0731024833857992,0.31129765652325986,0.7467646030080448,0.8912207065407485
LLaVA-Critic,"(3.053, 3.119]",2858,3.0845987088952223,1.0237928621413577,0.3219034289713086,0.7557732680195941,0.9314205738278516
LLaVA-Critic,"(3.119, 3.218]",2858,3.1660334291034347,1.0101469559132261,0.31490552834149754,0.7701189643107068,0.9146256123163051
LLaVA-Critic,"(3.218, 3.375]",2858,3.2886832612139765,1.0486354093771868,0.2991602519244227,0.7449265220433869,0.8960811756473058
LLaVA-Critic,"(3.375, 3.667]",2858,3.5024582452086657,1.062631210636809,0.274667599720084,0.7435269419174247,0.8733379986004198
LLaVA-Critic,"(3.667, 4.0]",2859,3.9217341832657633,1.1143756558237146,0.25498426023084997,0.7068905211612452,0.95033228401539
Phi-4,"(0.347, 2.484]",2828,2.253205988245267,0.8585572842998586,0.3992220650636492,0.8408769448373409,0.8896746817538896
Phi-4,"(2.484, 2.764]",2828,2.627210127287235,0.9002828854314003,0.3988684582743989,0.8097595473833098,0.8553748231966054
Phi-4,"(2.764, 2.991]",2826,2.874910906073225,0.9133050247699929,0.3719037508846426,0.805378627034678,0.8400566171266808
Phi-4,"(2.991, 3.087]",2828,3.048392643854338,0.9706506364922206,0.35254596888260253,0.7652050919377652,0.9091230551626591
Phi-4,"(3.087, 3.163]",2827,3.124418993615244,0.9377431906614786,0.35833038556773966,0.7849310222851079,0.9189954014856738
Phi-4,"(3.163, 3.249]",2827,3.2048910315651584,0.9780686239830209,0.3477184294304917,0.7661832331093031,0.9023700035373187
Phi-4,"(3.249, 3.346]",2828,3.297102280013801,1.0063649222065063,0.33062234794908063,0.7553041018387553,0.9006364922206507
Phi-4,"(3.346, 3.483]",2827,3.4105258467849335,1.0650866643084542,0.32826317651220377,0.7230279448178281,0.8811460912628227
Phi-4,"(3.483, 3.787]",2827,3.6060679546716488,1.1857092324018395,0.2737884683409975,0.6696144322603467,0.86062964273081
Phi-4,"(3.787, 4.0]",2828,3.9773360057463907,1.2234794908062234,0.2888967468175389,0.6644271570014144,0.9777227722772277
POOLED,"(0.347, 2.303]",8390,2.117137823315144,0.8431466030989273,0.43933253873659117,0.8189511323003575,0.9034564958283671
POOLED,"(2.303, 2.525]",8389,2.415341822335683,0.9699606627726786,0.3790678269161998,0.7706520443437835,0.8903325783764453
POOLED,"(2.525, 2.706]",8389,2.6172639540373206,1.0143044462987245,0.3505781380379068,0.7527714864703778,0.8686375014900465
POOLED,"(2.706, 2.899]",8390,2.7993915684459036,1.0066746126340882,0.33468414779499406,0.7629320619785459,0.8531585220500596
POOLED,"(2.899, 3.054]",8389,2.9907388459486532,1.062820359995232,0.3192275598998689,0.7424007629038026,0.8745976874478484
POOLED,"(3.054, 3.141]",8389,3.094772964939768,1.0264632256526403,0.32876385743235187,0.7521754678745977,0.920729526761235
POOLED,"(3.141, 3.254]",8390,3.1955863195323833,1.0528009535160905,0.31895113230035754,0.7394517282479142,0.9070321811680572
POOLED,"(3.254, 3.408]",8389,3.327054585826768,1.0960781976397664,0.3017046131839313,0.715222314936226,0.8911670044105376
POOLED,"(3.408, 3.682]",8389,3.5222392239379063,1.2066992490165693,0.2692812015734891,0.6725473834783645,0.8719752056264155
POOLED,"(3.682, 4.0]",8390,3.931834041717084,1.2505363528009534,0.2553039332538737,0.6532777115613826,0.9544696066746127
